text,ID,anger,anticipation,disgust,fear,joy,love,optimism,pessimism,sadness,surprise,trust
ظلينا نتكلم ساعات ساعات رتبت فيها نفسي وبكيت فيها مخاوفي مازلت احس بشعور غريب وكاني رحلت من البيت للتو وهذا الشعور اقدر اتحمله,2018-Ar-00259,True,False,False,True,False,False,False,True,True,False,False
كل سنه وانتي بخير ياقلبي وكل سنه وانتي سعيده يارب 😍 ❤️ 🎈 🎈,2018-Ar-02696,False,False,False,False,True,True,True,False,False,False,False
البسطاء يمتلكون ارواح نادره جداتجدهم بمظهر متواضع لكنهم بمحتوي باهض وراقي ينعمون بهدوء النفس لانهم يمتلكون كنزالقناعه سنام المجد للدعم,2018-Ar-03596,False,False,False,False,False,True,True,False,False,False,False
مومعقول اللي قاعد يصير فيني هالايام يارب ماينتابني شعور الخوف والتوتر اللهم التركيز واعلي الدرجاتت,2018-Ar-02999,False,False,False,True,False,False,False,False,False,False,False
انا اكثر شخص متناقض بداخلي حب وكره وامل وقنوط للحين ماعرفت نفسي,2018-Ar-02716,True,False,False,False,False,False,False,False,True,False,False
وانتي واسرتك الكريمه بخير و سرور اختي المحترمه 💜 🌹,2018-Ar-04161,False,False,False,False,True,True,False,False,False,False,False
واللي يغيظ ان اريكسن جاب ووالكر جاب وكوستا جاب ومهزله يعني عامل تريبل كابتن لاقل واحد جاب نقط 😍,2018-Ar-01931,True,False,False,False,False,False,False,False,False,True,False
النفاق الالكتروني عندما تجد مواقع التواصل الاجتماعي مليئه بالادعيه والمساجد فارغه حسره,2018-Ar-02388,True,False,False,False,False,False,False,False,True,False,False
الشي الوحيد الي مخليني بهالحساب انو تقريبا محد يعرفني فيه وماني مستعده اواجه حقيقه اني في حاله انكسار,2018-Ar-00456,False,False,False,False,False,False,False,True,True,False,False
ثانيه واحده بس كدا يعني افلام الرعب اللي طول عمري اتفرج عليهم عادي بالنسبالي وكفر دلهاب مرعوبه اتفرج دقايق ع بعض,2018-Ar-02080,False,False,False,True,False,False,False,False,False,False,False
غلطه ياسر المسيليم طبيعيه جدا ومتوقعه من لاعب اقدامه مرتجفه ولكن كيف ضم الزوري المبتعد عن المباريات وتحجج بالابتعاد عشان يزحلق العويس,2018-Ar-01083,True,True,False,True,False,False,False,False,False,False,False
انا غاضبه ورائحه افواه الصائمين تزيد من غضبي اكثر قرف,2018-Ar-01747,True,False,True,False,False,False,False,False,False,False,False
عبودي رافع ضغطي عندنا ولد جار يشبه عبودي ودي اتوطا في بطنه وبطن عبودي,2018-Ar-02489,True,False,False,False,False,False,False,True,False,False,False
اعلان مبهج جداا بس ليه لميس,2018-Ar-03809,False,False,False,False,True,True,True,False,False,True,False
❗ في مصر احنا بنشتغل عشان نجيب فلوس نروح بيها الشغل 🐸✋ ❕ يشعر بالاستياء,2018-Ar-02338,True,False,True,False,False,False,False,True,False,False,False
الحمدلله اذا حسيت اني مرضيه ربي احس بسعاده داخليه ليت اللذي بيني وبين الله عامر واالذي بيني وبين الناس خراب,2018-Ar-02635,False,False,False,False,True,True,True,False,False,False,False
ليش وسواس تعوذي من الشيطان واكثري من الاستغفار حتي انا يجيني بس لاني انشغلت في علوم القران والدراسه سبحان الله اختفي تماما,2018-Ar-03712,False,False,False,False,False,False,True,False,False,False,True
واحده بعربيه عالاذان بالضبط خبطتني من ورا نزلت مخضوض اتخانق و اشتم لقيتها قعده مذعوره و بتتاسف و تقول سرحت سيبتها و مشيت 😑,2018-Ar-01771,True,False,False,False,False,False,False,False,False,False,False
لحظه صبر في لحظه غضب تمنع الف لحظه ندم,2018-Ar-03261,True,False,False,False,False,False,True,False,False,False,True
يشبه شي كنت استخدمه المهم انبسطي وقضي اوقات ممتعه انا انبسطت معاك في سناباتك شكرًا💙,2018-Ar-03322,False,False,False,False,True,True,False,False,False,False,False
ادعس سعاده المستشار علي رقاب الجحوش قبحهم,2018-Ar-01372,True,False,False,False,False,False,False,False,False,False,True
بحب ضحكتك جدا والله وانتي عسل ودمك خفيف جدا مبسوط اني عرفتك وبعزك جدا والله يعني وبرضه محدش هيكتبلك رسايل علي صراحه دادادا 😂 ❤️❤️❤️❤️,2018-Ar-03513,False,False,False,False,True,True,False,False,False,False,True
المغرب ماهو فاضي يفتح جبهه خصوصا ان الريف يغلي عليه غليان فتصور تغطي اخبارها الجزيره فقط تغطيه,2018-Ar-03590,True,False,False,False,False,False,False,True,False,False,False
ياخي ده انت بتتعذب و انت بتتكلم الله يحرقك يا كابتن متحت و موت بغيظك 💅🏻,2018-Ar-03402,True,False,False,False,False,False,False,False,False,False,False
ابي مساعده الي يكدر يساعدني ربي يجعلها بميزان حسناتكم اقسم بالله محتاجه مساعده,2018-Ar-04003,False,True,False,False,False,False,False,False,True,False,False
عند سقوطه لا يعدم و انما يقتاد الي عنبر الخطيرين في مستشفي الامراض العقليه و منه تسقط كل توقيعاته و لا يعترف او يعتد بها طالما هو مجنون,2018-Ar-00692,True,False,True,False,False,False,False,False,False,False,False
بيض الله وجهك والله ماقصرت وواصل الي الامام ماعليك من الاعلام المعادي اتمني ابعاد كل لاعب يتمرد علي النادي مشجع نصراوي سنه,2018-Ar-00785,False,False,False,False,True,True,True,False,False,False,True
عيد سعيد جميعا كل سنه وانتو طيبين يارب اتمني لكم عيد مليء بالافراح مع اللي تحبوهم ولا مانع من العيديات والشوكلاتات والمفاجات 😍 🎈 🎁,2018-Ar-00976,False,False,False,False,True,True,True,False,False,False,False
تخيل نفسك هزيل الجسد مرعب الهيئه خالي من التعابير نظره الخوف والياس تشرح حالك حاول ان تحفظ هذه اللحظه وكل وقت تري نازح تذكرها وساعده,2018-Ar-02799,False,False,False,True,False,False,False,False,True,False,False
لا ازاي يا حبيبي نام و ارتاح 😞 😠,2018-Ar-00419,True,False,True,False,False,False,False,False,True,False,False
﴿ وما كان الله معذبهم وهم يستغفرون ﴾ امان 💭 💘,2018-Ar-03416,False,False,False,False,True,False,True,False,False,False,True
بهجه امل 💕 ٩٩لماتنزل درجه الماده ماقبل الاخيره 😍😍😍😍😍ياربي ايش اسوي اطير يعني ولا انقز والله ايش بالضبط صارقلبي بستان شكرايارب لانك معايا😍💕,2018-Ar-01921,False,False,False,False,True,True,True,False,False,False,False
الانا خايف منو وبقرض في اضافري من التوتر انو البيتكوين يبقي بعد شويه من متطلبات الشيله والله الا نجعر,2018-Ar-00206,False,False,False,True,False,False,False,True,False,False,False
البشير يتطاول علي مصر يا صبر ايوب,2018-Ar-03102,True,False,False,False,False,False,False,False,False,False,False
شبابه حلو والله ومجنون ودمه خفيف احب مسلسلاته القديمه,2018-Ar-01690,False,False,False,False,True,True,False,False,False,False,True
زي انهارده من سنه كنت قلقان و متوتر و حاسس بشعور طلاب الثانويه العامه دلوقتي فا يارب اصلح حالهم و اكرمهم 💔 ثانويه عامه,2018-Ar-00509,False,True,False,True,False,False,True,False,False,False,False
عنجد انت شخص كلمه حب قليله عليك وكلمه طيب كمان قليله انت مو بس فرحه رمضان انت فرحه كل العالم 😍 ❤ تركا علينا,2018-Ar-00134,False,False,False,False,True,True,False,False,False,False,False
ذكرني فيني باول برزنتشين ارتجاف وهوف مو طبيعي😂😂😂,2018-Ar-00038,False,False,False,True,True,False,False,False,False,False,False
انتو حتي عقولكم ممنوعه من سماع الراي الاخر وممنوعه من قول الحق بدليل مستشاركم الي مسح تغريدته هذا مب خوف وترهيب للشعب,2018-Ar-00804,True,False,True,False,False,False,False,True,False,False,False
اليوم راح نبلش بالمشروع عند اشاره القرين ❤️😍 التوزيع راح يكون وجبه افطار صائم وهيا عباره عن تمر لبنه ماي لبن ابتسم تكفي,2018-Ar-00767,False,False,False,False,True,True,True,False,False,False,False
اهمال المدارس الثانويه في تاخير الملفات يعني عيب والله يكفي انو ذي الفتره كلها اختبارات تحصيلي نهائي قدرات💔💔,2018-Ar-02958,True,False,False,False,False,False,False,False,True,False,False
يا باغي الخير اقبل فرحهم ب كسوه العيد كن سببا لابتسامه يتيم او محتاج,2018-Ar-00245,False,False,False,False,True,True,True,False,False,False,False
الله لاسامحك لادن يا ولا اخره قصدك من كتب كتب خافي الله لما تقولي هاذا الكلام لجميع اليمنيين,2018-Ar-01208,True,False,True,False,False,False,False,False,False,False,False
وقع فمات القصه حزينه,2018-Ar-00460,False,False,False,False,False,False,False,False,True,False,False
مااصلح للاستغلال ابدا لاني علي رغم الضعف اللي تشوفه فيني اقدر استبدله بخبث فالله يرضي عليك ابعد وانت طيب,2018-Ar-02600,True,False,False,False,False,False,False,False,True,False,False
اقل ما فيه انه يذل يهين يسقط الكرامه الواحد وش ينتظر خطوره اكثر من انه تنهان كرامته و ينذل,2018-Ar-00723,True,False,False,False,False,False,False,False,True,False,False
✨ تقبل الله منا ومنكم ✨ وعيدكم بهجه لا تغادركم ابدا,2018-Ar-03917,False,False,False,False,True,True,True,False,False,False,False
تعب حزن ضيق وجع ارهااق مختنق صدماات,2018-Ar-01590,True,False,False,False,False,False,False,True,True,False,False
